NAME,tothousing,state,county,GEOID
"Corozal Municipio, Puerto Rico",1515,72,047,72047
"Maunabo Municipio, Puerto Rico",604,72,095,72095
"Peñuelas Municipio, Puerto Rico",1525,72,111,72111
"Ponce Municipio, Puerto Rico",10426,72,113,72113
"San Sebastián Municipio, Puerto Rico",1910,72,131,72131
"Toa Alta Municipio, Puerto Rico",3506,72,135,72135
"Toa Baja Municipio, Puerto Rico",4904,72,137,72137
"Vieques Municipio, Puerto Rico",280,72,147,72147
"Yabucoa Municipio, Puerto Rico",1773,72,151,72151
"Aguada Municipio, Puerto Rico",2027,72,003,72003
"Caguas Municipio, Puerto Rico",7550,72,025,72025
"Canóvanas Municipio, Puerto Rico",2573,72,029,72029
"Cidra Municipio, Puerto Rico",2374,72,041,72041
"Coamo Municipio, Puerto Rico",2080,72,043,72043
"Dorado Municipio, Puerto Rico",1728,72,051,72051
"Luquillo Municipio, Puerto Rico",1181,72,089,72089
"Barranquitas Municipio, Puerto Rico",1373,72,019,72019
"Orocovis Municipio, Puerto Rico",1435,72,107,72107
"San Lorenzo Municipio, Puerto Rico",2011,72,129,72129
"Añasco Municipio, Puerto Rico",1545,72,011,72011
"Ceiba Municipio, Puerto Rico",742,72,037,72037
"Ciales Municipio, Puerto Rico",1001,72,039,72039
"Comerío Municipio, Puerto Rico",1086,72,045,72045
"Isabela Municipio, Puerto Rico",1989,72,071,72071
"Jayuya Municipio, Puerto Rico",704,72,073,72073
"Lares Municipio, Puerto Rico",1751,72,081,72081
"Las Piedras Municipio, Puerto Rico",1574,72,085,72085
"Río Grande Municipio, Puerto Rico",2870,72,119,72119
"San Juan Municipio, Puerto Rico",24255,72,127,72127
"Vega Alta Municipio, Puerto Rico",2052,72,143,72143
"Vega Baja Municipio, Puerto Rico",2566,72,145,72145
"Maricao Municipio, Puerto Rico",463,72,093,72093
"Aibonito Municipio, Puerto Rico",1363,72,009,72009
"Guayanilla Municipio, Puerto Rico",1340,72,059,72059
"Juncos Municipio, Puerto Rico",1480,72,077,72077
"Lajas Municipio, Puerto Rico",1162,72,079,72079
"Sabana Grande Municipio, Puerto Rico",1367,72,121,72121
"Adjuntas Municipio, Puerto Rico",1288,72,001,72001
"Camuy Municipio, Puerto Rico",1790,72,027,72027
"Guánica Municipio, Puerto Rico",1212,72,055,72055
"Hormigueros Municipio, Puerto Rico",1182,72,067,72067
"Manatí Municipio, Puerto Rico",2423,72,091,72091
"Naguabo Municipio, Puerto Rico",837,72,103,72103
"Naranjito Municipio, Puerto Rico",1358,72,105,72105
"San Germán Municipio, Puerto Rico",1866,72,125,72125
"Utuado Municipio, Puerto Rico",1831,72,141,72141
"Arecibo Municipio, Puerto Rico",5400,72,013,72013
"Arroyo Municipio, Puerto Rico",883,72,015,72015
"Cataño Municipio, Puerto Rico",2150,72,033,72033
"Florida Municipio, Puerto Rico",458,72,054,72054
"Hatillo Municipio, Puerto Rico",1595,72,065,72065
"Humacao Municipio, Puerto Rico",2644,72,069,72069
"Juana Díaz Municipio, Puerto Rico",3128,72,075,72075
"Morovis Municipio, Puerto Rico",1578,72,101,72101
"Mayagüez Municipio, Puerto Rico",5000,72,097,72097
"Santa Isabel Municipio, Puerto Rico",1083,72,133,72133
"Trujillo Alto Municipio, Puerto Rico",4011,72,139,72139
"Quebradillas Municipio, Puerto Rico",976,72,115,72115
"Guayama Municipio, Puerto Rico",2254,72,057,72057
"Moca Municipio, Puerto Rico",1704,72,099,72099
"Culebra Municipio, Puerto Rico",225,72,049,72049
"Gurabo Municipio, Puerto Rico",1969,72,063,72063
"Salinas Municipio, Puerto Rico",1596,72,123,72123
"Barceloneta Municipio, Puerto Rico",846,72,017,72017
"Loíza Municipio, Puerto Rico",2126,72,087,72087
"Yauco Municipio, Puerto Rico",2184,72,153,72153
"Guaynabo Municipio, Puerto Rico",4944,72,061,72061
"Aguadilla Municipio, Puerto Rico",3812,72,005,72005
"Cabo Rojo Municipio, Puerto Rico",2250,72,023,72023
"Fajardo Municipio, Puerto Rico",2133,72,053,72053
"Las Marías Municipio, Puerto Rico",627,72,083,72083
"Patillas Municipio, Puerto Rico",872,72,109,72109
"Rincón Municipio, Puerto Rico",706,72,117,72117
"Villalba Municipio, Puerto Rico",1670,72,149,72149
"Aguas Buenas Municipio, Puerto Rico",1268,72,007,72007
"Bayamón Municipio, Puerto Rico",15071,72,021,72021
"Carolina Municipio, Puerto Rico",9739,72,031,72031
"Cayey Municipio, Puerto Rico",2490,72,035,72035
