GEOID,Municipio,SOCIOECON_16,HSECOMP_16,MINLANG_16,HSETRANS_16,OVERALL_16
72073,Jayuya,0.7662,0.8701,0.8571,0.8701,1
72149,Villalba,0.7532,0.8571,0.987,0.7402,0.987
72107,Orocovis,0.935,1,0.935,0.3896,0.974
72001,Adjuntas,0.987,0.5844,0.961,0.5584,0.961
72033,Cataño,0.909,0.8961,0.3116,0.8961,0.948
72055,Guánica,0.961,0.8311,0.6233,0.5974,0.935
72045,Comerío,0.8441,0.935,0.7662,0.4285,0.922
72019,Barranquitas,0.2727,0.909,1,0.7272,0.909
72081,Lares,1,0.2727,0.8051,0.7792,0.8961
72057,Guayama,0.3376,0.8701,0.6363,0.922,0.8831
72015,Arroyo,0.3766,0.974,0.8441,0.5454,0.8701
72087,Loíza,0.5974,0.4155,0.961,0.7662,0.8571
72131,San Sebastián,0.974,0.8441,0.4805,0.4155,0.8441
72097,Mayagüez,0.8441,0.6883,0.2727,0.8831,0.8311
72053,Fajardo,0.4805,0.987,0.1298,0.935,0.8181
72007,Aguas Buenas,0.922,0.6233,0.7142,0.2727,0.7922
72047,Corozal,0.8961,0.2207,0.6103,0.8051,0.7922
72123,Salinas,0.1948,0.961,0.6883,0.6233,0.7792
72143,Vega Alta,0.8051,0.4805,0.2597,0.909,0.7662
72005,Aguadilla,0.8051,0.7662,0.0259,0.8441,0.7532
72039,Ciales,0.6233,0.7922,0.7532,0.2597,0.7272
72093,Maricao,0.6623,0,0.948,0.8181,0.7272
72113,Ponce,0.5714,0.6363,0.2337,0.961,0.7142
72105,Naranjito,0.6363,0.5324,0.8961,0.2987,0.7012
72091,Manatí,0.4155,0.7272,0.2207,0.987,0.6883
72109,Patillas,0.7922,0.0389,0.8571,0.6493,0.6753
72079,Lajas,0.7792,0.1168,0.7272,0.6753,0.6623
72089,Luquillo,0.6103,0.6493,0.1688,0.8311,0.6363
72101,Morovis,0.7012,0.4285,0.8831,0.2467,0.6363
72075,Juana Díaz,0.4025,0.5714,0.7922,0.4415,0.6233
72151,Yabucoa,0.7402,0.4415,0.909,0.0909,0.6103
72129,San Lorenzo,0.5324,0.0909,0.8311,0.6883,0.5974
72103,Naguabo,0.5324,0.2987,0.7792,0.5064,0.5844
72035,Cayey,0.2337,0.6753,0.5064,0.7012,0.5714
72077,Juncos,0.4935,0.7532,0.3766,0.4805,0.5584
72009,Aibonito,0.0129,0.5974,0.922,0.5714,0.5454
72121,Sabana Grande,0.3896,0.6623,0.3506,0.6233,0.5324
72153,Yauco,0.6493,0.4025,0.6623,0.3116,0.5194
72049,Culebra,0.2857,0.7012,0.0259,0.974,0.5064
72119,Río Grande,0.3636,0.3116,0.4545,0.8571,0.4935
72099,Moca,0.8701,0.3116,0.5584,0.2207,0.4675
72111,Peñuelas,0.7272,0.3766,0.7402,0.1168,0.4675
72025,Caguas,0.1298,0.8051,0.2077,0.7142,0.4545
72067,Hormigueros,0.4675,0.5454,0.3636,0.4675,0.4415
72059,Guayanilla,0.7142,0.5064,0.5974,0.0259,0.4285
72083,Las Marías,0.4545,0.3636,0.5584,0.4545,0.4155
72041,Cidra,0.1688,0.7792,0.6493,0.2207,0.3896
72043,Coamo,0.1818,0.909,0.5324,0.1948,0.3896
72145,Vega Baja,0.6883,0.4545,0.0909,0.5324,0.3766
72125,San Germán,0.3116,0.0259,0.4675,0.948,0.3636
72133,Santa Isabel,0.0779,0.948,0.4415,0.2727,0.3506
72095,Maunabo,0.948,0.0649,0.4025,0.3246,0.3376
72023,Cabo Rojo,0.4415,0.0779,0.4025,0.7922,0.3246
72029,Canóvanas,0.5064,0.3376,0.7012,0.1688,0.3116
72115,Quebradillas,0.5584,0.5584,0.5194,0.0649,0.2987
72017,Barceloneta,0.2987,0.8051,0.4805,0.0389,0.2857
72141,Utuado,0.8311,0.1428,0.5454,0.1038,0.2727
72021,Bayamón,0.1038,0.7142,0.1818,0.6103,0.2597
72013,Arecibo,0.2597,0.2077,0.4285,0.6623,0.2467
72071,Isabela,0.6753,0.3896,0.2467,0.1818,0.2207
72127,San Juan,0.2077,0.2857,0,1,0.2207
72011,Añasco,0.4285,0.3506,0.2987,0.4025,0.2077
72069,Humacao,0.1428,0.2597,0.3116,0.7402,0.1948
72031,Carolina,0.0389,0.7402,0.0779,0.5194,0.1818
72085,Las Piedras,0.2467,0.1688,0.8181,0.0779,0.1688
72137,Toa Baja,0.2207,0.4675,0.2727,0.3376,0.1558
72003,Aguada,0.8831,0.1168,0.1558,0.1428,0.1428
72117,Rincón,0.5064,0.6103,0.0519,0.1298,0.1298
72054,Florida,0.0519,0.5194,0.6623,0.0519,0.1168
72027,Camuy,0.5844,0.1558,0.3766,0,0.1038
72051,Dorado,0.3506,0.4935,0.0519,0.2077,0.0909
72139,Trujillo Alto,0,0.2337,0.1948,0.5844,0.0779
72037,Ceiba,0.0909,0.2467,0.1298,0.4935,0.0649
72135,Toa Alta,0.0649,0.1818,0.3376,0.3376,0.0519
72065,Hatillo,0.3116,0.0129,0.5844,0.0129,0.0389
72147,Vieques,0.1558,0.0389,0.1168,0.3636,0.0259
72063,Gurabo,0.1168,0.1948,0.1038,0.1558,0.0129
72061,Guaynabo,0.0259,0.1038,0.0129,0.3766,0
